team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2,Pld1,W1,L1,D1,Pts1,Pld2,W2,L2,D2,Pts2
gujarat fortunegiants,bengal warriors,42.0,17.0,season 5,24.0,775.0,24.0,749.0,22.0,15.0,4.0,3.0,87.0,22.0,11.0,5.0,6.0,77.0
patna pirates,puneri paltan,42.0,32.0,season 5,26.0,1050.0,24.0,766.0,22.0,10.0,7.0,5.0,71.0,22.0,15.0,7.0,0.0,80.0
patna pirates,bengal warriors,47.0,44.0,season 5,26.0,1050.0,24.0,749.0,22.0,10.0,7.0,5.0,71.0,22.0,11.0,5.0,6.0,77.0
patna pirates,gujarat fortunegiants,55.0,38.0,season 5,26.0,1050.0,24.0,775.0,22.0,10.0,7.0,5.0,71.0,22.0,15.0,4.0,3.0,87.0
tamil thalaivas,patna pirates,42.0,26.0,season 6,22.0,671.0,22.0,799.0,22.0,5.0,13.0,4.0,42.0,22.0,9.0,11.0,2.0,55.0
puneri paltan,haryana steelers,34.0,22.0,season 6,,,22.0,715.0,22.0,8.0,12.0,2.0,52.0,22.0,6.0,14.0,2.0,42.0
u.p. yoddha,tamil thalaivas,37.0,32.0,season 6,25.0,812.0,22.0,671.0,,,,,,22.0,5.0,13.0,4.0,42.0
telugu titans,tamil thalaivas,33.0,28.0,season 6,,,22.0,671.0,22.0,8.0,13.0,1.0,51.0,22.0,5.0,13.0,4.0,42.0
u mumba,jaipur pink panthers,39.0,32.0,season 6,23.0,856.0,22.0,711.0,22.0,15.0,5.0,2.0,86.0,22.0,6.0,12.0,3.0,43.0
bengaluru bulls,tamil thalaivas,48.0,37.0,season 6,24.0,887.0,22.0,671.0,22.0,13.0,7.0,2.0,78.0,22.0,5.0,13.0,4.0,42.0
patna pirates,u.p. yoddha,43.0,41.0,season 6,22.0,799.0,25.0,812.0,22.0,9.0,11.0,2.0,55.0,,,,,
bengal warriors,tamil thalaivas,36.0,27.0,season 6,23.0,725.0,22.0,671.0,22.0,12.0,8.0,2.0,69.0,22.0,5.0,13.0,4.0,42.0
haryana steelers,gujarat fortunegiants,32.0,25.0,season 6,22.0,715.0,25.0,876.0,22.0,6.0,14.0,2.0,42.0,22.0,17.0,3.0,2.0,93.0
dabang delhi,puneri paltan,41.0,37.0,season 6,24.0,822.0,,,22.0,11.0,9.0,2.0,68.0,22.0,8.0,12.0,2.0,52.0
telugu titans,u.p. yoddha,34.0,29.0,season 6,,,25.0,812.0,22.0,8.0,13.0,1.0,51.0,,,,,
u mumba,haryana steelers,53.0,26.0,season 6,23.0,856.0,22.0,715.0,22.0,15.0,5.0,2.0,86.0,22.0,6.0,14.0,2.0,42.0
patna pirates,u.p. yoddha,43.0,37.0,season 6,22.0,799.0,25.0,812.0,22.0,9.0,11.0,2.0,55.0,,,,,
puneri paltan,haryana steelers,45.0,27.0,season 6,,,22.0,715.0,22.0,8.0,12.0,2.0,52.0,22.0,6.0,14.0,2.0,42.0
bengal warriors,telugu titans,30.0,25.0,season 6,23.0,725.0,,,22.0,12.0,8.0,2.0,69.0,22.0,8.0,13.0,1.0,51.0
jaipur pink panthers,haryana steelers,36.0,33.0,season 6,22.0,711.0,22.0,715.0,22.0,6.0,12.0,3.0,43.0,22.0,6.0,14.0,2.0,42.0
bengaluru bulls,tamil thalaivas,44.0,35.0,season 6,24.0,887.0,22.0,671.0,22.0,13.0,7.0,2.0,78.0,22.0,5.0,13.0,4.0,42.0
u mumba,haryana steelers,42.0,32.0,season 6,23.0,856.0,22.0,715.0,22.0,15.0,5.0,2.0,86.0,22.0,6.0,14.0,2.0,42.0
haryana steelers,dabang delhi,34.0,31.0,season 6,22.0,715.0,24.0,822.0,22.0,6.0,14.0,2.0,42.0,22.0,11.0,9.0,2.0,68.0
gujarat fortunegiants,puneri paltan,34.0,28.0,season 6,25.0,876.0,,,22.0,17.0,3.0,2.0,93.0,22.0,8.0,12.0,2.0,52.0
telugu titans,patna pirates,35.0,31.0,season 6,,,22.0,799.0,22.0,8.0,13.0,1.0,51.0,22.0,9.0,11.0,2.0,55.0
puneri paltan,jaipur pink panthers,29.0,25.0,season 6,,,22.0,711.0,22.0,8.0,12.0,2.0,52.0,22.0,6.0,12.0,3.0,43.0
puneri paltan,u mumba,33.0,32.0,season 6,,,23.0,856.0,22.0,8.0,12.0,2.0,52.0,22.0,15.0,5.0,2.0,86.0
dabang delhi,bengal warriors,39.0,30.0,season 6,24.0,822.0,23.0,725.0,22.0,11.0,9.0,2.0,68.0,22.0,12.0,8.0,2.0,69.0
puneri paltan,bengaluru bulls,27.0,25.0,season 6,,,24.0,887.0,22.0,8.0,12.0,2.0,52.0,22.0,13.0,7.0,2.0,78.0
u mumba,telugu titans,41.0,20.0,season 6,23.0,856.0,,,22.0,15.0,5.0,2.0,86.0,22.0,8.0,13.0,1.0,51.0
tamil thalaivas,puneri paltan,36.0,31.0,season 6,22.0,671.0,,,22.0,5.0,13.0,4.0,42.0,22.0,8.0,12.0,2.0,52.0
bengaluru bulls,haryana steelers,42.0,34.0,season 6,24.0,887.0,22.0,715.0,22.0,13.0,7.0,2.0,78.0,22.0,6.0,14.0,2.0,42.0
u.p. yoddha,puneri paltan,29.0,23.0,season 6,25.0,812.0,,,,,,,,22.0,8.0,12.0,2.0,52.0
patna pirates,jaipur pink panthers,41.0,30.0,season 6,22.0,799.0,22.0,711.0,22.0,9.0,11.0,2.0,55.0,22.0,6.0,12.0,3.0,43.0
gujarat fortunegiants,tamil thalaivas,36.0,25.0,season 6,25.0,876.0,22.0,671.0,22.0,17.0,3.0,2.0,93.0,22.0,5.0,13.0,4.0,42.0
bengal warriors,jaipur pink panthers,39.0,28.0,season 6,23.0,725.0,22.0,711.0,22.0,12.0,8.0,2.0,69.0,22.0,6.0,12.0,3.0,43.0
u mumba,patna pirates,40.0,39.0,season 6,23.0,856.0,22.0,799.0,22.0,15.0,5.0,2.0,86.0,22.0,9.0,11.0,2.0,55.0
u.p. yoddha,dabang delhi,38.0,36.0,season 6,25.0,812.0,24.0,822.0,,,,,,22.0,11.0,9.0,2.0,68.0
haryana steelers,patna pirates,43.0,32.0,season 6,22.0,715.0,22.0,799.0,22.0,6.0,14.0,2.0,42.0,22.0,9.0,11.0,2.0,55.0
gujarat fortunegiants,puneri paltan,37.0,27.0,season 6,25.0,876.0,,,22.0,17.0,3.0,2.0,93.0,22.0,8.0,12.0,2.0,52.0
telugu titans,patna pirates,53.0,32.0,season 6,,,22.0,799.0,22.0,8.0,13.0,1.0,51.0,22.0,9.0,11.0,2.0,55.0
puneri paltan,dabang delhi,31.0,27.0,season 6,,,24.0,822.0,22.0,8.0,12.0,2.0,52.0,22.0,11.0,9.0,2.0,68.0
bengaluru bulls,patna pirates,43.0,41.0,season 6,24.0,887.0,22.0,799.0,22.0,13.0,7.0,2.0,78.0,22.0,9.0,11.0,2.0,55.0
patna pirates,bengal warriors,29.0,27.0,season 6,22.0,799.0,23.0,725.0,22.0,9.0,11.0,2.0,55.0,22.0,12.0,8.0,2.0,69.0
tamil thalaivas,u.p. yoddha,46.0,24.0,season 6,22.0,671.0,25.0,812.0,22.0,5.0,13.0,4.0,42.0,,,,,
gujarat fortunegiants,jaipur pink panthers,36.0,25.0,season 6,25.0,876.0,22.0,711.0,22.0,17.0,3.0,2.0,93.0,22.0,6.0,12.0,3.0,43.0
u mumba,puneri paltan,31.0,22.0,season 6,23.0,856.0,,,22.0,15.0,5.0,2.0,86.0,22.0,8.0,12.0,2.0,52.0
bengaluru bulls,u.p. yoddha,35.0,29.0,season 6,24.0,887.0,25.0,812.0,22.0,13.0,7.0,2.0,78.0,,,,,
gujarat fortunegiants,dabang delhi,45.0,38.0,season 6,25.0,876.0,24.0,822.0,22.0,17.0,3.0,2.0,93.0,22.0,11.0,9.0,2.0,68.0
jaipur pink panthers,haryana steelers,38.0,32.0,season 6,22.0,711.0,22.0,715.0,22.0,6.0,12.0,3.0,43.0,22.0,6.0,14.0,2.0,42.0
dabang delhi,haryana steelers,39.0,33.0,season 6,24.0,822.0,22.0,715.0,22.0,11.0,9.0,2.0,68.0,22.0,6.0,14.0,2.0,42.0
bengaluru bulls,u.p. yoddha,37.0,27.0,season 6,24.0,887.0,25.0,812.0,22.0,13.0,7.0,2.0,78.0,,,,,
u mumba,jaipur pink panthers,48.0,24.0,season 6,23.0,856.0,22.0,711.0,22.0,15.0,5.0,2.0,86.0,22.0,6.0,12.0,3.0,43.0
bengal warriors,telugu titans,30.0,25.0,season 6,23.0,725.0,,,22.0,12.0,8.0,2.0,69.0,22.0,8.0,13.0,1.0,51.0
patna pirates,bengal warriors,50.0,30.0,season 6,22.0,799.0,23.0,725.0,22.0,9.0,11.0,2.0,55.0,22.0,12.0,8.0,2.0,69.0
gujarat fortunegiants,u mumba,38.0,36.0,season 6,25.0,876.0,23.0,856.0,22.0,17.0,3.0,2.0,93.0,22.0,15.0,5.0,2.0,86.0
dabang delhi,jaipur pink panthers,40.0,29.0,season 6,24.0,822.0,22.0,711.0,22.0,11.0,9.0,2.0,68.0,22.0,6.0,12.0,3.0,43.0
haryana steelers,u mumba,35.0,31.0,season 6,22.0,715.0,23.0,856.0,22.0,6.0,14.0,2.0,42.0,22.0,15.0,5.0,2.0,86.0
telugu titans,puneri paltan,28.0,25.0,season 6,,,,,22.0,8.0,13.0,1.0,51.0,22.0,8.0,12.0,2.0,52.0
u mumba,u.p. yoddha,41.0,24.0,season 6,23.0,856.0,25.0,812.0,22.0,15.0,5.0,2.0,86.0,,,,,
u mumba,bengaluru bulls,32.0,29.0,season 6,23.0,856.0,24.0,887.0,22.0,15.0,5.0,2.0,86.0,22.0,13.0,7.0,2.0,78.0
patna pirates,dabang delhi,38.0,35.0,season 6,22.0,799.0,24.0,822.0,22.0,9.0,11.0,2.0,55.0,22.0,11.0,9.0,2.0,68.0
u mumba,tamil thalaivas,36.0,22.0,season 6,23.0,856.0,22.0,671.0,22.0,15.0,5.0,2.0,86.0,22.0,5.0,13.0,4.0,42.0
gujarat fortunegiants,bengal warriors,35.0,23.0,season 6,25.0,876.0,23.0,725.0,22.0,17.0,3.0,2.0,93.0,22.0,12.0,8.0,2.0,69.0
jaipur pink panthers,u.p. yoddha,45.0,28.0,season 6,22.0,711.0,25.0,812.0,22.0,6.0,12.0,3.0,43.0,,,,,
bengal warriors,puneri paltan,26.0,22.0,season 6,23.0,725.0,,,22.0,12.0,8.0,2.0,69.0,22.0,8.0,12.0,2.0,52.0
bengaluru bulls,jaipur pink panthers,45.0,32.0,season 6,24.0,887.0,22.0,711.0,22.0,13.0,7.0,2.0,78.0,22.0,6.0,12.0,3.0,43.0
gujarat fortunegiants,u.p. yoddha,37.0,32.0,season 6,25.0,876.0,25.0,812.0,22.0,17.0,3.0,2.0,93.0,,,,,
tamil thalaivas,telugu titans,27.0,23.0,season 6,22.0,671.0,,,22.0,5.0,13.0,4.0,42.0,22.0,8.0,13.0,1.0,51.0
dabang delhi,gujarat fortunegiants,29.0,26.0,season 6,24.0,822.0,25.0,876.0,22.0,11.0,9.0,2.0,68.0,22.0,17.0,3.0,2.0,93.0
patna pirates,tamil thalaivas,45.0,27.0,season 6,22.0,799.0,22.0,671.0,22.0,9.0,11.0,2.0,55.0,22.0,5.0,13.0,4.0,42.0
gujarat fortunegiants,u mumba,39.0,35.0,season 6,25.0,876.0,23.0,856.0,22.0,17.0,3.0,2.0,93.0,22.0,15.0,5.0,2.0,86.0
gujarat fortunegiants,haryana steelers,40.0,31.0,season 6,25.0,876.0,22.0,715.0,22.0,17.0,3.0,2.0,93.0,22.0,6.0,14.0,2.0,42.0
bengal warriors,bengaluru bulls,33.0,31.0,season 6,23.0,725.0,24.0,887.0,22.0,12.0,8.0,2.0,69.0,22.0,13.0,7.0,2.0,78.0
u mumba,dabang delhi,39.0,23.0,season 6,23.0,856.0,24.0,822.0,22.0,15.0,5.0,2.0,86.0,22.0,11.0,9.0,2.0,68.0
bengaluru bulls,tamil thalaivas,36.0,22.0,season 6,24.0,887.0,22.0,671.0,22.0,13.0,7.0,2.0,78.0,22.0,5.0,13.0,4.0,42.0
haryana steelers,dabang delhi,34.0,27.0,season 6,22.0,715.0,24.0,822.0,22.0,6.0,14.0,2.0,42.0,22.0,11.0,9.0,2.0,68.0
patna pirates,bengaluru bulls,35.0,32.0,season 6,22.0,799.0,24.0,887.0,22.0,9.0,11.0,2.0,55.0,22.0,13.0,7.0,2.0,78.0
tamil thalaivas,telugu titans,31.0,25.0,season 6,22.0,671.0,,,22.0,5.0,13.0,4.0,42.0,22.0,8.0,13.0,1.0,51.0
bengaluru bulls,u.p. yoddha,37.0,27.0,season 6,24.0,887.0,25.0,812.0,22.0,13.0,7.0,2.0,78.0,,,,,
puneri paltan,haryana steelers,35.0,33.0,season 6,,,22.0,715.0,22.0,8.0,12.0,2.0,52.0,22.0,6.0,14.0,2.0,42.0
bengaluru bulls,telugu titans,34.0,26.0,season 6,24.0,887.0,,,22.0,13.0,7.0,2.0,78.0,22.0,8.0,13.0,1.0,51.0
gujarat fortunegiants,puneri paltan,35.0,20.0,season 6,25.0,876.0,,,22.0,17.0,3.0,2.0,93.0,22.0,8.0,12.0,2.0,52.0
bengal warriors,bengaluru bulls,44.0,37.0,season 6,23.0,725.0,24.0,887.0,22.0,12.0,8.0,2.0,69.0,22.0,13.0,7.0,2.0,78.0
dabang delhi,jaipur pink panthers,48.0,35.0,season 6,24.0,822.0,22.0,711.0,22.0,11.0,9.0,2.0,68.0,22.0,6.0,12.0,3.0,43.0
u mumba,dabang delhi,41.0,34.0,season 6,23.0,856.0,24.0,822.0,22.0,15.0,5.0,2.0,86.0,22.0,11.0,9.0,2.0,68.0
u mumba,gujarat fortunegiants,36.0,26.0,season 6,23.0,856.0,25.0,876.0,22.0,15.0,5.0,2.0,86.0,22.0,17.0,3.0,2.0,93.0
dabang delhi,puneri paltan,35.0,24.0,season 6,24.0,822.0,,,22.0,11.0,9.0,2.0,68.0,22.0,8.0,12.0,2.0,52.0
gujarat fortunegiants,patna pirates,45.0,27.0,season 6,25.0,876.0,22.0,799.0,22.0,17.0,3.0,2.0,93.0,22.0,9.0,11.0,2.0,55.0
dabang delhi,telugu titans,34.0,29.0,season 6,24.0,822.0,,,22.0,11.0,9.0,2.0,68.0,22.0,8.0,13.0,1.0,51.0
haryana steelers,bengal warriors,35.0,33.0,season 6,22.0,715.0,23.0,725.0,22.0,6.0,14.0,2.0,42.0,22.0,12.0,8.0,2.0,69.0
dabang delhi,bengaluru bulls,32.0,31.0,season 6,24.0,822.0,24.0,887.0,22.0,11.0,9.0,2.0,68.0,22.0,13.0,7.0,2.0,78.0
u.p. yoddha,haryana steelers,30.0,29.0,season 6,25.0,812.0,22.0,715.0,,,,,,22.0,6.0,14.0,2.0,42.0
dabang delhi,tamil thalaivas,37.0,33.0,season 6,24.0,822.0,22.0,671.0,22.0,11.0,9.0,2.0,68.0,22.0,5.0,13.0,4.0,42.0
gujarat fortunegiants,telugu titans,29.0,27.0,season 6,25.0,876.0,,,22.0,17.0,3.0,2.0,93.0,22.0,8.0,13.0,1.0,51.0
patna pirates,puneri paltan,53.0,36.0,season 6,22.0,799.0,,,22.0,9.0,11.0,2.0,55.0,22.0,8.0,12.0,2.0,52.0
u mumba,bengal warriors,31.0,20.0,season 6,23.0,856.0,23.0,725.0,22.0,15.0,5.0,2.0,86.0,22.0,12.0,8.0,2.0,69.0
telugu titans,jaipur pink panthers,36.0,26.0,season 6,,,22.0,711.0,22.0,8.0,13.0,1.0,51.0,22.0,6.0,12.0,3.0,43.0
jaipur pink panthers,tamil thalaivas,37.0,24.0,season 6,22.0,711.0,22.0,671.0,22.0,6.0,12.0,3.0,43.0,22.0,5.0,13.0,4.0,42.0
telugu titans,haryana steelers,35.0,31.0,season 6,,,22.0,715.0,22.0,8.0,13.0,1.0,51.0,22.0,6.0,14.0,2.0,42.0
u mumba,dabang delhi,44.0,19.0,season 6,23.0,856.0,24.0,822.0,22.0,15.0,5.0,2.0,86.0,22.0,11.0,9.0,2.0,68.0
u.p. yoddha,telugu titans,27.0,20.0,season 6,25.0,812.0,,,,,,,,22.0,8.0,13.0,1.0,51.0
gujarat fortunegiants,haryana steelers,47.0,37.0,season 6,25.0,876.0,22.0,715.0,22.0,17.0,3.0,2.0,93.0,22.0,6.0,14.0,2.0,42.0
bengaluru bulls,telugu titans,37.0,24.0,season 6,24.0,887.0,,,22.0,13.0,7.0,2.0,78.0,22.0,8.0,13.0,1.0,51.0
telugu titans,patna pirates,41.0,36.0,season 6,,,22.0,799.0,22.0,8.0,13.0,1.0,51.0,22.0,9.0,11.0,2.0,55.0
jaipur pink panthers,puneri paltan,36.0,23.0,season 6,22.0,711.0,,,22.0,6.0,12.0,3.0,43.0,22.0,8.0,12.0,2.0,52.0
bengal warriors,tamil thalaivas,28.0,21.0,season 6,23.0,725.0,22.0,671.0,22.0,12.0,8.0,2.0,69.0,22.0,5.0,13.0,4.0,42.0
u.p. yoddha,patna pirates,47.0,31.0,season 6,25.0,812.0,22.0,799.0,,,,,,22.0,9.0,11.0,2.0,55.0
gujarat fortunegiants,jaipur pink panthers,34.0,29.0,season 6,25.0,876.0,22.0,711.0,22.0,17.0,3.0,2.0,93.0,22.0,6.0,12.0,3.0,43.0
bengaluru bulls,telugu titans,44.0,28.0,season 6,24.0,887.0,,,22.0,13.0,7.0,2.0,78.0,22.0,8.0,13.0,1.0,51.0
jaipur pink panthers,haryana steelers,39.0,30.0,season 6,22.0,711.0,22.0,715.0,22.0,6.0,12.0,3.0,43.0,22.0,6.0,14.0,2.0,42.0
gujarat fortunegiants,jaipur pink panthers,33.0,31.0,season 6,25.0,876.0,22.0,711.0,22.0,17.0,3.0,2.0,93.0,22.0,6.0,12.0,3.0,43.0
bengal warriors,tamil thalaivas,27.0,24.0,season 6,23.0,725.0,22.0,671.0,22.0,12.0,8.0,2.0,69.0,22.0,5.0,13.0,4.0,42.0
puneri paltan,telugu titans,35.0,20.0,season 6,,,,,22.0,8.0,12.0,2.0,52.0,22.0,8.0,13.0,1.0,51.0
u.p. yoddha,u mumba,34.0,32.0,season 6,25.0,812.0,23.0,856.0,,,,,,22.0,15.0,5.0,2.0,86.0
bengal warriors,patna pirates,39.0,23.0,season 6,23.0,725.0,22.0,799.0,22.0,12.0,8.0,2.0,69.0,22.0,9.0,11.0,2.0,55.0
dabang delhi,bengal warriors,37.0,31.0,season 6,24.0,822.0,23.0,725.0,22.0,11.0,9.0,2.0,68.0,22.0,12.0,8.0,2.0,69.0
bengal warriors,telugu titans,39.0,34.0,season 6,23.0,725.0,,,22.0,12.0,8.0,2.0,69.0,22.0,8.0,13.0,1.0,51.0
gujarat fortunegiants,patna pirates,37.0,29.0,season 6,25.0,876.0,22.0,799.0,22.0,17.0,3.0,2.0,93.0,22.0,9.0,11.0,2.0,55.0
bengal warriors,bengaluru bulls,37.0,31.0,season 6,23.0,725.0,24.0,887.0,22.0,12.0,8.0,2.0,69.0,22.0,13.0,7.0,2.0,78.0
bengaluru bulls,jaipur pink panthers,40.0,32.0,season 6,24.0,887.0,22.0,711.0,22.0,13.0,7.0,2.0,78.0,22.0,6.0,12.0,3.0,43.0
u.p. yoddha,bengal warriors,41.0,25.0,season 6,25.0,812.0,23.0,725.0,,,,,,22.0,12.0,8.0,2.0,69.0
u.p. yoddha,u mumba,34.0,29.0,season 6,25.0,812.0,23.0,856.0,,,,,,22.0,15.0,5.0,2.0,86.0
dabang delhi,bengal warriors,39.0,28.0,season 6,24.0,822.0,23.0,725.0,22.0,11.0,9.0,2.0,68.0,22.0,12.0,8.0,2.0,69.0
bengaluru bulls,gujarat fortunegiants,41.0,29.0,season 6,24.0,887.0,25.0,876.0,22.0,13.0,7.0,2.0,78.0,22.0,17.0,3.0,2.0,93.0
u.p. yoddha,dabang delhi,45.0,33.0,season 6,25.0,812.0,24.0,822.0,,,,,,22.0,11.0,9.0,2.0,68.0
gujarat fortunegiants,u.p. yoddha,38.0,31.0,season 6,25.0,876.0,25.0,812.0,22.0,17.0,3.0,2.0,93.0,,,,,
bengaluru bulls,gujarat fortunegiants,38.0,33.0,season 6,24.0,887.0,25.0,876.0,22.0,13.0,7.0,2.0,78.0,22.0,17.0,3.0,2.0,93.0
u.p. yoddha,bengal warriors,32.0,29.0,season 7,,,18.0,636.0,,,,,,,,,,
bengaluru bulls,tamil thalaivas,33.0,27.0,season 7,17.0,582.0,18.0,525.0,,,,,,,,,,
haryana steelers,puneri paltan,41.0,27.0,season 7,16.0,543.0,18.0,578.0,,,,,,,,,,
telugu titans,tamil thalaivas,35.0,30.0,season 7,,,18.0,525.0,,,,,,,,,,
dabang delhi,jaipur pink panthers,46.0,44.0,season 7,16.0,567.0,18.0,552.0,,,,,,,,,,
bengaluru bulls,patna pirates,40.0,39.0,season 7,17.0,582.0,17.0,567.0,,,,,,,,,,
u.p. yoddha,patna pirates,41.0,29.0,season 7,,,17.0,567.0,,,,,,,,,,
bengaluru bulls,telugu titans,40.0,39.0,season 7,17.0,582.0,,,,,,,,,,,,
haryana steelers,dabang delhi,47.0,25.0,season 7,16.0,543.0,16.0,567.0,,,,,,,,,,
dabang delhi,tamil thalaivas,50.0,34.0,season 7,16.0,567.0,18.0,525.0,,,,,,,,,,
bengal warriors,puneri paltan,42.0,39.0,season 7,18.0,636.0,18.0,578.0,,,,,,,,,,
u.p. yoddha,gujarat fortunegiants,33.0,26.0,season 7,,,18.0,518.0,,,,,,,,,,
patna pirates,tamil thalaivas,51.0,25.0,season 7,17.0,567.0,18.0,525.0,,,,,,,,,,
u mumba,telugu titans,41.0,27.0,season 7,17.0,529.0,,,,,,,,,,,,
bengal warriors,u mumba,29.0,26.0,season 7,18.0,636.0,17.0,529.0,,,,,,,,,,
patna pirates,jaipur pink panthers,36.0,33.0,season 7,17.0,567.0,18.0,552.0,,,,,,,,,,
bengal warriors,bengaluru bulls,42.0,40.0,season 7,18.0,636.0,17.0,582.0,,,,,,,,,,
puneri paltan,gujarat fortunegiants,43.0,33.0,season 7,18.0,578.0,18.0,518.0,,,,,,,,,,
haryana steelers,tamil thalaivas,43.0,35.0,season 7,16.0,543.0,18.0,525.0,,,,,,,,,,
dabang delhi,gujarat fortunegiants,34.0,30.0,season 7,16.0,567.0,18.0,518.0,,,,,,,,,,
patna pirates,puneri paltan,55.0,33.0,season 7,17.0,567.0,18.0,578.0,,,,,,,,,,
u.p. yoddha,jaipur pink panthers,38.0,32.0,season 7,,,18.0,552.0,,,,,,,,,,
dabang delhi,telugu titans,37.0,29.0,season 7,16.0,567.0,,,,,,,,,,,,
u mumba,u.p. yoddha,39.0,36.0,season 7,17.0,529.0,,,,,,,,,,,,
bengal warriors,haryana steelers,48.0,36.0,season 7,18.0,636.0,16.0,543.0,,,,,,,,,,
puneri paltan,bengaluru bulls,42.0,38.0,season 7,18.0,578.0,17.0,582.0,,,,,,,,,,
u.p. yoddha,tamil thalaivas,42.0,22.0,season 7,,,18.0,525.0,,,,,,,,,,
u mumba,gujarat fortunegiants,31.0,25.0,season 7,17.0,529.0,18.0,518.0,,,,,,,,,,
bengal warriors,jaipur pink panthers,41.0,40.0,season 7,18.0,636.0,18.0,552.0,,,,,,,,,,
